		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	LABELS	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)
																					
norme_dest	Emigrants' Residence Norm (t)	0.502***					0.250***					0.237					0.663**				
		[0.100]					[0.0898]					[0.321]					[0.302]				
norme_ori	Immigrants' Birthplace Norm (t)	0.0352					-0.127					1.377***					0.516*				
		[0.101]					[0.0775]					[0.278]					[0.299]				
norm_dest_x_lnp_pop	Emigrants' Residence Norm (t) * Share of Emigrants(t)	-2.163***					-1.057*					-2.917***					-2.817***				
		[0.645]					[0.608]					[0.912]					[0.830]				
norm_ori_x_lnp_pop	Immigrants' Birthplace Norm (t)* Share of Immigrants (t)	1.914*					2.719***					0.426					1.376*				
		[0.993]					[0.685]					[1.321]					[0.770]				
lnp_pop_emigr	Share of Emigrants (t)	-3.470***					-1.611					-4.033***					-3.708***				
		[1.117]					[0.981]					[1.411]					[1.251]				
lnp_pop_immigr	Share of Immigrants (t)	3.676***					4.232***					1.724					2.093**				
		[1.321]					[0.929]					[1.780]					[0.950]				
lifeexpectancy15	Life Expectancy Age 15 (t)						-0.00564										-0.00640				
							[0.0106]										[0.0104]				
mortalityratio_1	Infant Mortality (t)						0.847**										0.758**				
							[0.335]										[0.333]				
urban	log(Urban) (t)						-0.0681										0.203				
							[0.325]										[0.288]				
lnp_industrie	log(Industries) (t)						-0.0131										-0.00491				
							[0.00798]										[0.00710]				
lnp_professionsliberales	log(Professionals) (t)						-0.00809										-0.00462				
							[0.0148]										[0.0123]				
lnwomen_education_10yb	log(Female Education (t))						-0.0666										-0.0155				
							[0.0424]										[0.0403]				
lnmen_education_10yb	log(Male Education (t))						0.0201										0.00888				
							[0.0534]										[0.0499]				
lnpropfillescongreganistes	log(Share of Girls in Primary Catholic Schools) (t)						-0.00421										0.0184				
							[0.0188]										[0.0217]				
lnpropgarconscongreganistes	log(Share of Boys in Primary Catholic Schools) (t)						0.0132										0.00242				
							[0.0164]										[0.0154]				
revuedesdeuxmondes_newsstand	Revue des Deux Mondes Outlets						0.0719*										0.0113				
							[0.0389]										[0.0404]				
rd2M_fecParis	Revue des Deux Mondes Outlets* Fertility of Seine						0.0488*										0.0156				
							[0.0261]										[0.0279]				
_Iannee_obs_1871	annee_obs==1871	-0.0318					-0.0771**										-0.297*				
		[0.0193]					[0.0299]										[0.152]				
_Iannee_obs_1881	annee_obs==1881	-0.0360					0.0140					0.00311					-0.242				
		[0.0255]					[0.0330]					[0.0216]					[0.147]				
_Iannee_obs_1891	annee_obs==1891	-0.124***					-0.0683					0.0236					-0.245				
		[0.0323]					[0.0423]					[0.0372]					[0.150]				
_Iannee_obs_1901	annee_obs==1901	-0.124***					-0.0642					-0.0199					-0.227*				
		[0.0449]					[0.0669]					[0.0329]					[0.135]				
_Iannee_obs_1911	annee_obs==1911	-0.146***					0.185					-0.0656									
		[0.0528]					[0.151]					[0.0422]									
_nl_1			0.958***	0.817***	-0.243	-0.575*		0.473**	0.399*	-0.522***	-0.817***		0.859*	1.098***	1.316***	-0.126		1.264***	1.060***	0.316	-0.407*
			[0.223]	[0.244]	[0.235]	[0.298]		[0.210]	[0.230]	[0.164]	[0.206]		[0.441]	[0.343]	[0.294]	[0.391]		[0.413]	[0.312]	[0.297]	[0.228]
_Iannee_obs_1861	annee_obs==1861											-0.0151					-0.299*				
												[0.0398]					[0.164]				
o._Iannee_obs_1871	annee_obs==1871 = o,											-									
																					
o._Iannee_obs_1911	annee_obs==1911 = o,																-				
																					
Constant	Constant	-0.563***					-1.143*					0.668**					0.500				
		[0.168]					[0.591]					[0.313]					[0.757]				
																					
Observations		486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486
R-squared		0.610					0.735					0.676					0.766				
Number of dptresid		81					81					81					81				
Within R2		0.6					0.735					0.7					0.766				
Adjusted R2		0.6					0.722					0.7					0.755				
F-stat		41.3					52.195					41.5					66.909				
Prob>F-stat		0.0					0.000					0.0					0.000				
Robust standard errors in brackets																					
*** p<0.01, ** p<0.05, * p<0.1																					
