		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	LABELS	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)
																					
norme_dest	Emigrants' Residence Norm (t)	0.450***					0.319***					0.396					0.806***				
		[0.111]					[0.0932]					[0.318]					[0.292]				
norme_ori	Immigrants' Birthplace Norm (t)	0.0574					-0.108					1.279***					0.356				
		[0.0945]					[0.0712]					[0.260]					[0.278]				
norm_dest_x_lnp_pop	Emigrants' Residence Norm (t) * Share of Emigrants(t)	-1.266**					-0.953*					-2.905***					-2.773***				
		[0.531]					[0.505]					[0.791]					[0.770]				
norm_ori_x_lnp_pop	Immigrants' Birthplace Norm (t)* Share of Immigrants (t)	1.020					1.994***					-0.308					0.876				
		[0.820]					[0.581]					[1.336]					[0.843]				
lnp_pop_emigr	Share of Emigrants (t)	-2.132**					-1.489**					-3.999***					-3.711***				
		[0.820]					[0.697]					[1.227]					[1.164]				
lnp_pop_immigr	Share of Immigrants (t)	2.405**					3.367***					0.693					1.558				
		[1.145]					[0.779]					[1.877]					[1.087]				
lifeexpectancy15	Life Expectancy Age 15 (t)						-0.00582										-0.00984				
							[0.00889]										[0.0103]				
mortalityratio_1	Infant Mortality (t)						0.836***										0.613*				
							[0.294]										[0.334]				
urban	log(Urban) (t)						-0.0526										0.167				
							[0.298]										[0.299]				
lnp_industrie	log(Industries) (t)						-0.0137*										-0.00303				
							[0.00763]										[0.00711]				
lnp_professionsliberales	log(Professionals) (t)						-0.0164										-0.00518				
							[0.0132]										[0.0126]				
lnwomen_education_10yb	log(Female Education (t))						-0.0335										-0.0333				
							[0.0396]										[0.0389]				
lnmen_education_10yb	log(Male Education (t))						0.00290										0.0115				
							[0.0448]										[0.0493]				
lnpropfillescongreganistes	log(Share of Girls in Primary Catholic Schools) (t)						0.00973										0.0106				
							[0.0176]										[0.0202]				
lnpropgarconscongreganistes	log(Share of Boys in Primary Catholic Schools) (t)						0.000336										0.00815				
							[0.0162]										[0.0148]				
revuedesdeuxmondes_newsstand	Revue des Deux Mondes Outlets						0.0535										0.0141				
							[0.0370]										[0.0413]				
rd2M_fecParis	Revue des Deux Mondes Outlets* Fertility of Seine						0.0376										0.0167				
							[0.0253]										[0.0287]				
_Iannee_obs_1871	annee_obs==1871	-0.0353**					-0.0900***										-0.325**				
		[0.0176]					[0.0259]										[0.148]				
_Iannee_obs_1881	annee_obs==1881	-0.0361*					0.00702					0.00811					-0.264*				
		[0.0203]					[0.0269]					[0.0209]					[0.144]				
_Iannee_obs_1891	annee_obs==1891	-0.128***					-0.0780**					0.0194					-0.281*				
		[0.0271]					[0.0337]					[0.0358]					[0.147]				
_Iannee_obs_1901	annee_obs==1901	-0.126***					-0.0775					-0.0191					-0.256*				
		[0.0388]					[0.0575]					[0.0322]					[0.133]				
_Iannee_obs_1911	annee_obs==1911	-0.141***					0.183					-0.0614									
		[0.0463]					[0.130]					[0.0425]									
_nl_1			0.742***	0.458**	-0.112	-0.314		0.539***	0.345*	-0.438***	-0.614***		1.074**	1.068***	1.329***	0.0909		1.453***	1.019***	0.212	-0.258
			[0.221]	[0.192]	[0.220]	[0.253]		[0.202]	[0.183]	[0.157]	[0.179]		[0.428]	[0.291]	[0.298]	[0.394]		[0.401]	[0.283]	[0.275]	[0.249]
_Iannee_obs_1861	annee_obs==1861											-0.0177					-0.327**				
												[0.0369]					[0.158]				
o._Iannee_obs_1871	annee_obs==1871 = o,											-									
																					
o._Iannee_obs_1911	annee_obs==1911 = o,																-				
																					
Constant	Constant	-0.621***					-1.061**					0.747**					0.703				
		[0.191]					[0.502]					[0.331]					[0.753]				
																					
Observations		486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486
R-squared		0.629					0.748					0.676					0.765				
Number of dptresid		81					81					81					81				
Within R2		0.6					0.748					0.7					0.765				
Adjusted R2		0.6					0.736					0.7					0.754				
F-stat		40.8					51.138					38.7					54.489				
Prob>F-stat		0.0					0.000					0.0					0.000				
Robust standard errors in brackets																					
*** p<0.01, ** p<0.05, * p<0.1																					
