		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	LABELS	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)
																					
norme_dest	Emigrants' Residence Norm (t)	0.543***					0.376***					0.331					0.764**				
		[0.123]					[0.101]					[0.322]					[0.299]				
norme_ori	Immigrants' Birthplace Norm (t)	0.136					-0.0957					1.331***					0.433				
		[0.118]					[0.0910]					[0.268]					[0.294]				
norm_dest_x_lnp_pop	Emigrants' Residence Norm (t) * Share of Emigrants(t)	-1.739***					-1.246**					-2.962***					-2.965***				
		[0.649]					[0.591]					[0.884]					[0.826]				
norm_ori_x_lnp_pop	Immigrants' Birthplace Norm (t)* Share of Immigrants (t)	1.548					2.808***					-0.275					1.006				
		[1.012]					[0.724]					[1.362]					[0.859]				
lnp_pop_emigr	Share of Emigrants (t)	-2.766**					-1.906**					-4.081***					-3.942***				
		[1.078]					[0.885]					[1.380]					[1.250]				
lnp_pop_immigr	Share of Immigrants (t)	3.481**					4.669***					0.851					1.761				
		[1.375]					[0.983]					[1.868]					[1.084]				
lifeexpectancy15	Life Expectancy Age 15 (t)						-0.00912										-0.00859				
							[0.00914]										[0.0103]				
mortalityratio_1	Infant Mortality (t)						0.707**										0.654*				
							[0.297]										[0.332]				
urban	log(Urban) (t)						-0.0200										0.196				
							[0.300]										[0.291]				
lnp_industrie	log(Industries) (t)						-0.0128*										-0.00294				
							[0.00753]										[0.00702]				
lnp_professionsliberales	log(Professionals) (t)						-0.0131										-0.00581				
							[0.0131]										[0.0122]				
lnwomen_education_10yb	log(Female Education (t))						-0.0389										-0.0211				
							[0.0397]										[0.0395]				
lnmen_education_10yb	log(Male Education (t))						0.0146										0.00874				
							[0.0475]										[0.0494]				
lnpropfillescongreganistes	log(Share of Girls in Primary Catholic Schools) (t)						0.0123										0.0164				
							[0.0179]										[0.0208]				
lnpropgarconscongreganistes	log(Share of Boys in Primary Catholic Schools) (t)						0.000425										0.00423				
							[0.0158]										[0.0151]				
revuedesdeuxmondes_newsstand	Revue des Deux Mondes Outlets						0.0555										0.00985				
							[0.0365]										[0.0402]				
rd2M_fecParis	Revue des Deux Mondes Outlets* Fertility of Seine						0.0390										0.0142				
							[0.0246]										[0.0279]				
_Iannee_obs_1871	annee_obs==1871	-0.0231					-0.0804***										-0.306**				
		[0.0183]					[0.0256]										[0.149]				
_Iannee_obs_1881	annee_obs==1881	-0.0362					0.00255					0.00586					-0.249*				
		[0.0219]					[0.0286]					[0.0213]					[0.146]				
_Iannee_obs_1891	annee_obs==1891	-0.109***					-0.0682*					0.0184					-0.262*				
		[0.0281]					[0.0358]					[0.0354]					[0.148]				
_Iannee_obs_1901	annee_obs==1901	-0.111***					-0.0648					-0.0207					-0.239*				
		[0.0395]					[0.0583]					[0.0310]					[0.133]				
_Iannee_obs_1911	annee_obs==1911	-0.122**					0.233*					-0.0671									
		[0.0474]					[0.134]					[0.0408]									
_nl_1			0.918***	0.640***	-0.0987	-0.469		0.644***	0.458**	-0.521***	-0.850***		0.977**	1.102***	1.372***	0.0814		1.411***	1.103***	0.282	-0.297
			[0.245]	[0.239]	[0.254]	[0.306]		[0.218]	[0.217]	[0.184]	[0.219]		[0.439]	[0.329]	[0.303]	[0.403]		[0.408]	[0.307]	[0.300]	[0.254]
_Iannee_obs_1861	annee_obs==1861											-0.0139					-0.306*				
												[0.0389]					[0.161]				
o._Iannee_obs_1871	annee_obs==1871 = o,											-									
																					
o._Iannee_obs_1911	annee_obs==1911 = o,																-				
																					
Constant	Constant	-0.442**					-0.797					0.724**					0.651				
		[0.191]					[0.524]					[0.318]					[0.749]				
																					
Observations		486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486
R-squared		0.645					0.755					0.681					0.767				
Number of dptresid		81					81					81					81				
Within R2		0.6					0.755					0.7					0.767				
Adjusted R2		0.6					0.743					0.7					0.756				
F-stat		40.7					47.737					40.7					57.983				
Prob>F-stat		0.0					0.000					0.0					0.000				
Robust standard errors in brackets																					
*** p<0.01, ** p<0.05, * p<0.1																					
