		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	LABELS	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)
																					
norme_dest	Emigrants' Residence Norm (t)	0.543***					0.365***					0.331					0.749**				
		[0.123]					[0.104]					[0.322]					[0.296]				
norme_ori	Immigrants' Birthplace Norm (t)	0.136					-0.0973					1.331***					0.442				
		[0.118]					[0.0941]					[0.268]					[0.290]				
norm_dest_x_lnp_pop	Emigrants' Residence Norm (t) * Share of Emigrants(t)	-1.739***					-1.206**					-2.962***					-2.918***				
		[0.649]					[0.598]					[0.884]					[0.832]				
norm_ori_x_lnp_pop	Immigrants' Birthplace Norm (t)* Share of Immigrants (t)	1.548					2.809***					-0.275					0.971				
		[1.012]					[0.727]					[1.362]					[0.872]				
lnp_pop_emigr	Share of Emigrants (t)	-2.766**					-1.853**					-4.081***					-3.868***				
		[1.078]					[0.903]					[1.380]					[1.255]				
lnp_pop_immigr	Share of Immigrants (t)	3.481**					4.674***					0.851					1.722				
		[1.375]					[0.982]					[1.868]					[1.098]				
lifeexpectancy15	Life Expectancy Age 15 (t)						-0.00905										-0.00865				
							[0.00912]										[0.0103]				
mortalityratio_1	Infant Mortality (t)						0.712**										0.651*				
							[0.295]										[0.332]				
urban	log(Urban) (t)						-0.0247										0.187				
							[0.301]										[0.294]				
lnp_industrie	log(Industries) (t)						-0.0124										-0.00232				
							[0.00758]										[0.00704]				
lnp_professionsliberales	log(Professionals) (t)						-0.0140										-0.00722				
							[0.0133]										[0.0123]				
lnwomen_education_10yb	log(Female Education (t))						-0.0387										-0.0197				
							[0.0398]										[0.0395]				
lnmen_education_10yb	log(Male Education (t))						0.0131										0.00829				
							[0.0476]										[0.0495]				
lnpropfillescongreganistes	log(Share of Girls in Primary Catholic Schools) (t)						0.0117										0.0156				
							[0.0181]										[0.0210]				
lnpropgarconscongreganistes	log(Share of Boys in Primary Catholic Schools) (t)						0.000547										0.00467				
							[0.0160]										[0.0151]				
revuedesdeuxmondes_newsstand	Revue des Deux Mondes Outlets						0.0563										0.0101				
							[0.0365]										[0.0404]				
rd2M_fecParis	Revue des Deux Mondes Outlets* Fertility of Seine						0.0394										0.0144				
							[0.0247]										[0.0280]				
childrenoutwedlock	Childrenoutwedlock						-0.0753										-0.0986*				
							[0.0558]										[0.0507]				
children_not_recognized	children_not_recognized						-0.00539										-0.0258				
							[0.0468]										[0.0396]				
_Iannee_obs_1871	annee_obs==1871	-0.0231					-0.0828***										-0.311**				
		[0.0183]					[0.0269]										[0.149]				
_Iannee_obs_1881	annee_obs==1881	-0.0362					0.00221					0.00586					-0.251*				
		[0.0219]					[0.0299]					[0.0213]					[0.145]				
_Iannee_obs_1891	annee_obs==1891	-0.109***					-0.0698*					0.0184					-0.267*				
		[0.0281]					[0.0388]					[0.0354]					[0.148]				
_Iannee_obs_1901	annee_obs==1901	-0.111***					-0.0638					-0.0207					-0.237*				
		[0.0395]					[0.0587]					[0.0310]					[0.133]				
_Iannee_obs_1911	annee_obs==1911	-0.122**					0.231*					-0.0671									
		[0.0474]					[0.133]					[0.0408]									
_nl_1			0.918***	0.640***	-0.0987	-0.469		0.625***	0.444**	-0.522***	-0.850***		0.977**	1.102***	1.372***	0.0814		1.386***	1.085***	0.296	-0.287
			[0.245]	[0.239]	[0.254]	[0.306]		[0.223]	[0.220]	[0.188]	[0.220]		[0.439]	[0.329]	[0.303]	[0.403]		[0.407]	[0.309]	[0.298]	[0.258]
_Iannee_obs_1861	annee_obs==1861											-0.0139					-0.305*				
												[0.0389]					[0.161]				
o._Iannee_obs_1871	annee_obs==1871 = o,											-									
																					
o._Iannee_obs_1911	annee_obs==1911 = o,																-				
																					
Constant	Constant	-0.442**					-0.812					0.724**					0.664				
		[0.191]					[0.522]					[0.318]					[0.751]				
																					
Observations		486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486	486
R-squared		0.645					0.755					0.681					0.768				
Number of dptresid		81					81					81					81				
Within R2		0.6					0.755					0.7					0.768				
Adjusted R2		0.6					0.742					0.7					0.756				
F-stat		40.7					44.464					40.7					52.351				
Prob>F-stat		0.0					0.000					0.0					0.000				
Robust standard errors in brackets																					
*** p<0.01, ** p<0.05, * p<0.1																					
