		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	LABELS	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)
																					
norme_dest	Emigrants' Residence Norm (t)	0.231**					0.161*					-1.378***					-1.056***				
		[0.102]					[0.0939]					[0.391]					[0.343]				
norme_ori	Immigrants' Birthplace Norm (t)	0.135					0.0445					2.499***					1.984***				
		[0.0934]					[0.0821]					[0.334]					[0.323]				
norm_dest_x_lnp_pop	Emigrants' Residence Norm (t) * Share of Emigrants(t)	-0.00689					-0.0976					0.0598					0.0368				
		[0.384]					[0.437]					[0.436]					[0.473]				
norm_ori_x_lnp_pop	Immigrants' Birthplace Norm (t)* Share of Immigrants (t)	0.256					0.679					-0.503					-0.0683				
		[0.501]					[0.468]					[0.717]					[0.659]				
lnp_pop_emigr	Share of Emigrants (t)	-0.820					-1.081					0.381					0.231				
		[1.379]					[1.559]					[1.715]					[1.860]				
lnp_pop_immigr	Share of Immigrants (t)	1.737					3.156*					-1.737					-0.245				
		[1.880]					[1.745]					[2.867]					[2.584]				
lifeexpectancy15	Life Expectancy Age 15 (t)						-0.0361***										-0.0158*				
							[0.00941]										[0.00895]				
mortalityratio_1	Infant Mortality (t)						-0.930***										-0.256				
							[0.326]										[0.310]				
urban	log(Urban) (t)						-0.147										0.0482				
							[0.128]										[0.131]				
lnp_industrie	log(Industries) (t)						-0.00348										0.00136				
							[0.00624]										[0.00579]				
lnp_professionsliberales	log(Professionals) (t)						-0.00225										-0.00428				
							[0.0102]										[0.00958]				
lnwomen_education_10yb	log(Female Education (t))						-0.0300										-0.0165				
							[0.0331]										[0.0336]				
lnmen_education_10yb	log(Male Education (t))						0.0122										-0.000846				
							[0.0464]										[0.0421]				
lnpropfillescongreganistes	log(Share of Girls in Primary Catholic Schools) (t)						0.00868										-0.0101				
							[0.0163]										[0.0151]				
lnpropgarconscongreganistes	log(Share of Boys in Primary Catholic Schools) (t)						0.0381***										0.0348**				
							[0.0140]										[0.0140]				
revuedesdeuxmondes_newsstand	Revue des Deux Mondes Outlets						-0.0278										0.0468				
							[0.145]										[0.151]				
rd2M_fecParis	Revue des Deux Mondes Outlets* Fertility of Seine						-0.00884										0.0151				
							[0.0367]										[0.0384]				
_Iannee_obs_1871	annee_obs==1871	0.0236**					0.0173										-0.243*				
		[0.0102]					[0.0212]										[0.134]				
_Iannee_obs_1881	annee_obs==1881	-0.0159					0.0183					0.00126					-0.208*				
		[0.0141]					[0.0253]					[0.0214]					[0.122]				
_Iannee_obs_1891	annee_obs==1891	-0.0908***					-0.0543					0.0163					-0.204*				
		[0.0278]					[0.0392]					[0.0440]					[0.116]				
_Iannee_obs_1901	annee_obs==1901	-0.0820**					-0.0338					-0.0224					-0.213*				
		[0.0356]					[0.0462]					[0.0514]					[0.110]				
_Iannee_obs_1911	annee_obs==1911	-0.176***					0.343***					-0.0192									
		[0.0505]					[0.127]					[0.0876]									
_nl_1			0.236	0.0187	0.0148	-0.703		0.221	0.265	-0.275	-1.863		-1.415***	-0.163	2.736***	1.375		-1.079**	-0.100	2.016***	0.186
			[0.312]	[1.043]	[0.302]	[1.374]		[0.342]	[1.188]	[0.286]	[1.284]		[0.530]	[1.187]	[0.556]	[1.958]		[0.509]	[1.286]	[0.537]	[1.799]
_Iannee_obs_1861	annee_obs==1861											0.0149					-0.226*				
												[0.0121]					[0.134]				
o._Iannee_obs_1871	annee_obs==1871 = o,											-									
																					
o._Iannee_obs_1911	annee_obs==1911 = o,																-				
																					
Constant	Constant	-2.307***					-0.948					0.392					0.726				
		[0.482]					[0.761]					[0.804]					[1.021]				
																					
Observations		480	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480
R-squared		0.794					0.814					0.809					0.820				
Number of dptresid		80					80					80					80				
Within R2		0.8					0.814					0.8					0.820				
Adjusted R2		0.8					0.805					0.8					0.811				
F-stat		111.6					80.297					129.7					88.705				
Prob>F-stat		0.0					0.000					0.0					0.000				
Robust standard errors in brackets																					
*** p<0.01, ** p<0.05, * p<0.1																					
