		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)
VARIABLES	LABELS	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)
																																									
norme_dest	Emigrants' Residence Norm (t)	0.275**					0.188*					0.0584					0.0233					0.275**					0.188*					0.0584					0.0233				
		[0.128]					[0.101]					[0.576]					[0.592]					[0.128]					[0.101]					[0.576]					[0.592]				
norme_ori	Immigrants' Birthplace Norm (t)	0.183					0.0667					1.475**					1.261*					0.183					0.0667					1.475**					1.261*				
		[0.126]					[0.108]					[0.650]					[0.651]					[0.126]					[0.108]					[0.650]					[0.651]				
norm_dest_x_lnp_pop	Emigrants' Residence Norm (t) * Share of Emigrants(t)	0.328					0.203					0.0885					0.103					0.328					0.203					0.0885					0.103				
		[0.586]					[0.552]					[0.587]					[0.642]					[0.586]					[0.552]					[0.587]					[0.642]				
norm_ori_x_lnp_pop	Immigrants' Birthplace Norm (t)* Share of Immigrants (t)	0.484					0.962					0.139					0.130					0.484					0.962					0.139					0.130				
		[0.702]					[0.639]					[0.686]					[0.646]					[0.702]					[0.639]					[0.686]					[0.646]				
lnp_pop_emigr	Share of Emigrants (t)	0.910					0.515					0.282					0.337					0.910					0.515					0.282					0.337				
		[2.302]					[2.177]					[2.322]					[2.550]					[2.302]					[2.177]					[2.322]					[2.550]				
lnp_pop_immigr	Share of Immigrants (t)	2.485					4.114*					0.916					0.512					2.485					4.114*					0.916					0.512				
		[2.659]					[2.380]					[2.748]					[2.554]					[2.659]					[2.380]					[2.748]					[2.554]				
lifeexpectancy15	Life Expectancy Age 15 (t)						-0.0328***										-0.0159*										-0.0328***										-0.0159*				
							[0.00926]										[0.00878]										[0.00926]										[0.00878]				
mortalityratio_1	Infant Mortality (t)						-0.827***										-0.279										-0.827***										-0.279				
							[0.313]										[0.308]										[0.313]										[0.308]				
urban	log(Urban) (t)						-0.0307										-0.0231										-0.0307										-0.0231				
							[0.133]										[0.120]										[0.133]										[0.120]				
lnp_industrie	log(Industries) (t)						-0.00480										-0.00396										-0.00480										-0.00396				
							[0.00662]										[0.00639]										[0.00662]										[0.00639]				
lnp_professionsliberales	log(Professionals) (t)						-0.00329										-0.000959										-0.00329										-0.000959				
							[0.0103]										[0.00975]										[0.0103]										[0.00975]				
lnwomen_education_10yb	log(Female Education (t))						-0.0400										-0.0221										-0.0400										-0.0221				
							[0.0381]										[0.0345]										[0.0381]										[0.0345]				
lnmen_education_10yb	log(Male Education (t))						0.00656										0.00226										0.00656										0.00226				
							[0.0494]										[0.0448]										[0.0494]										[0.0448]				
lnpropfillescongreganistes	log(Share of Girls in Primary Catholic Schools) (t)						0.00105										-0.00979										0.00105										-0.00979				
							[0.0182]										[0.0148]										[0.0182]										[0.0148]				
lnpropgarconscongreganistes	log(Share of Boys in Primary Catholic Schools) (t)						0.0416**										0.0270**										0.0416**										0.0270**				
							[0.0168]										[0.0129]										[0.0168]										[0.0129]				
revuedesdeuxmondes_newsstand	Revue des Deux Mondes Outlets						0.0196										0.0886										0.0196										0.0886				
							[0.131]										[0.151]										[0.131]										[0.151]				
rd2M_fecParis	Revue des Deux Mondes Outlets* Fertility of Seine						0.00491										0.0263										0.00491										0.0263				
							[0.0329]										[0.0383]										[0.0329]										[0.0383]				
_Iannee_obs_1871	annee_obs==1871	0.0118					0.00770										-0.426***					0.0118					0.00770										-0.426***				
		[0.0111]					[0.0233]										[0.111]					[0.0111]					[0.0233]										[0.111]				
_Iannee_obs_1881	annee_obs==1881	-0.0255*					0.0113					0.0549***					-0.351***					-0.0255*					0.0113					0.0549***					-0.351***				
		[0.0137]					[0.0284]					[0.0189]					[0.106]					[0.0137]					[0.0284]					[0.0189]					[0.106]				
_Iannee_obs_1891	annee_obs==1891	-0.0897***					-0.0587					0.104***					-0.314***					-0.0897***					-0.0587					0.104***					-0.314***				
		[0.0310]					[0.0427]					[0.0390]					[0.105]					[0.0310]					[0.0427]					[0.0390]					[0.105]				
_Iannee_obs_1901	annee_obs==1901	-0.0961***					-0.0581					0.111**					-0.297***					-0.0961***					-0.0581					0.111**					-0.297***				
		[0.0311]					[0.0463]					[0.0446]					[0.101]					[0.0311]					[0.0463]					[0.0446]					[0.101]				
_Iannee_obs_1911	annee_obs==1911	-0.170***					0.295**					0.201***										-0.170***					0.295**					0.201***									
		[0.0470]					[0.125]					[0.0728]										[0.0470]					[0.125]					[0.0728]									
